YEAR,gender,Nsamp,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52
1979,1,110,0,0,0,0,0.00041,0.00095,0.00821,0.04017,0.0724,0.06751,0.05974,0.03585,0.00011,0.00001,0.0008,0,0.00008,0.00017,0
1980,1,191,0,0,0,0,0.00342,0.00256,0.00799,0.03147,0.08474,0.09921,0.04584,0.01837,0.00273,0.00223,0.00025,0.00042,0.0066,0.00008,0.0003
1981,1,125,0,0,0,0,0,0.00064,0.00026,0.04874,0.11222,0.12205,0.0119,0.00084,0.00005,0.00046,0,0.00002,0,0,0
1982,1,195,0,0,0,0.00078,0.00005,0.00359,0.00727,0.02841,0.07633,0.06915,0.02099,0.00408,0.00023,0.00006,0,0,0,0,0
1983,1,275,0,0,0,0.00004,0.0001,0.00066,0.00736,0.03449,0.03921,0.05539,0.02184,0.00391,0.00018,0.00244,0.00191,0.00005,0.00001,0.00007,0.00715
1984,1,305,0.00002,0,0,0,0.00009,0.00102,0.02879,0.03878,0.0771,0.06447,0.05422,0.00792,0.00032,0.00166,0.00061,0.00242,0.00049,0.00052,0.00002
1985,1,338,0,0,0,0.00009,0.00011,0.00232,0.01902,0.06599,0.10678,0.1175,0.04632,0.01314,0.00603,0.00042,0.00045,0.00138,0.0015,0.00138,0
1986,1,219,0,0.00004,0,0.00093,0.0034,0.00564,0.01592,0.09321,0.10176,0.06953,0.03448,0.01659,0.00662,0.00095,0,0.0018,0.00244,0,0
1987,1,211,0,0,0,0,0.00112,0.04064,0.1188,0.06182,0.08213,0.06136,0.02295,0.00782,0.00086,0.00019,0.00001,0.00001,0,0,0
1988,1,199,0,0,0,0.00003,0.00014,0.04746,0.12885,0.10265,0.08427,0.0428,0.03387,0.00139,0,0.00016,0.00001,0,0,0,0
1989,1,183,0,0,0,0.00096,0.00612,0.00994,0.0414,0.15366,0.12776,0.06141,0.03496,0.00173,0.00017,0.00098,0,0.00009,0,0,0
1990,1,204,0,0,0,0,0.00195,0.02245,0.05403,0.08982,0.12547,0.04891,0.04953,0.004,0.00087,0,0.00021,0,0.00002,0.00005,0
1991,1,208,0,0,0.00015,0.00013,0.00662,0.01265,0.05956,0.10457,0.13979,0.06707,0.02766,0.00608,0.00157,0,0.00009,0,0.0002,0,0
1992,1,132,0,0,0.00001,0.00008,0.00384,0.02468,0.03734,0.0624,0.08162,0.05922,0.01503,0.00609,0.00293,0.00213,0.00284,0.00075,0.00142,0,0
1993,1,126,0,0,0,0.00203,0.00957,0.06125,0.11245,0.07924,0.04639,0.01194,0.00498,0.00006,0,0,0,0,0,0.0006,0
1994,1,117,0,0,0,0,0.00184,0.04468,0.08946,0.12132,0.0972,0.06042,0.01519,0.0029,0.00021,0.00068,0,0,0,0,0
1995,1,114,0.00175,0,0,0.00205,0,0.01412,0.03783,0.08782,0.14094,0.0774,0.03078,0.00468,0.00073,0.00171,0.00223,0.0049,0,0,0.00175
1996,1,116,0,0,0,0.00168,0.01966,0.10183,0.10599,0.06959,0.07843,0.0509,0.01033,0.00186,0.00194,0.0005,0.00132,0,0,0,0
1997,1,136,0,0,0,0.0033,0.00045,0.06268,0.14975,0.09977,0.06919,0.02845,0.01467,0.00857,0.0001,0.00137,0.00127,0.00042,0,0,0
1998,1,123,0,0,0,0,0.04411,0.01694,0.06933,0.12133,0.08988,0.03285,0.02736,0.00183,0.00042,0.0005,0.00085,0.00014,0.00003,0.00001,0
1999,1,84,0,0,0,0,0.00011,0.03147,0.08443,0.10657,0.07571,0.04674,0.01023,0.00673,0,0.00002,0.00035,0,0,0,0
2000,1,50,0.00002,0,0,0.00031,0,0.01031,0.02243,0.0715,0.0666,0.07021,0.0207,0.01719,0.0016,0.00051,0.00101,0.00089,0.00033,0,0
2001,1,58,0,0,0,0.01426,0.02615,0.01599,0.02994,0.0876,0.10742,0.0699,0.01551,0.0022,0.00032,0,0.0004,0,0,0,0.00011
2002,1,54,0.00113,0.00452,0.00124,0.0041,0.02706,0.07152,0.02883,0.03737,0.03884,0.03246,0.01081,0.00224,0.00322,0.00246,0.00284,0,0,0.00083,0.0023
2003,1,18,0,0.00023,0.00011,0.00084,0.00011,0.07587,0.12785,0.0586,0.02396,0.02086,0.00712,0.00119,0,0,0,0,0,0,0
2004,1,54,0,0,0,0.00023,0.00058,0.00026,0.02585,0.10078,0.07134,0.02827,0.00561,0.00212,0,0,0,0,0,0,0
2005,1,20,0,0,0,0,0,0,0.06488,0.12996,0.03707,0.00865,0.00543,0,0.00949,0,0,0,0,0,0
2006,1,31,0,0,0,0,0,0,0,0.01525,0.01022,0.04,0.04166,0,0.00083,0,0,0,0,0,0
