YEAR,gender,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48
1994,1,0,0,0,0.0014,0.0076,0.0157,0.0219,0.0323,0.0732,0.1116,0.0893,0.0413,0.0166,0.0043,0.0067,0.0043,0.001,0.0147
1995,1,0,0,0.0019,0.0019,0.005,0.0097,0.0151,0.048,0.0821,0.1069,0.1031,0.0632,0.026,0.0163,0.0136,0.007,0.0027,0.0015
1996,1,0.0004,0.0006,0.0024,0.0056,0.0065,0.008,0.0115,0.0292,0.0659,0.1036,0.1064,0.0692,0.0456,0.0277,0.0117,0.0054,0.0004,0.0004
1997,1,0.0005,0.0007,0.0022,0.005,0.0067,0.0156,0.0188,0.0419,0.0804,0.1114,0.1029,0.0779,0.0362,0.0126,0.0032,0.0015,0.0005,0.006
1998,1,0.0004,0,0.0013,0.0029,0.004,0.0075,0.0159,0.039,0.0672,0.112,0.1149,0.0813,0.0383,0.0159,0.0139,0.0071,0.0042,0.004
1999,1,0,0,0,0,0,0,0.016,0.016,0.056,0.088,0.104,0.072,0.032,0.048,0.008,0,0,0
2000,1,0,0.0007,0,0.0036,0.0072,0.0181,0.0296,0.0557,0.0701,0.094,0.1048,0.0745,0.0419,0.0268,0.0166,0.0043,0.0029,0.0007
2001,1,0,0.0016,0.0008,0.0033,0.0025,0.0074,0.0107,0.023,0.0607,0.1066,0.1025,0.0968,0.0648,0.032,0.0098,0.0074,0.0057,0.0025
2002,1,0,0.0016,0,0.0031,0.0039,0.0062,0.0148,0.0349,0.0745,0.1017,0.1071,0.0668,0.0404,0.0264,0.0062,0.0078,0.0016,0.0023
2003,1,0,0.0004,0.0004,0.0024,0.0076,0.0112,0.0239,0.0418,0.0737,0.0961,0.1419,0.1172,0.0697,0.0271,0.0175,0.0032,0.0008,0.0008
2004,1,0,0,0,0.0014,0.0043,0.0086,0.0286,0.0328,0.06,0.0785,0.0871,0.0749,0.05,0.035,0.0086,0.0071,0,0.0014
2005,1,0,0,0.0006,0.0006,0.0035,0.0052,0.0163,0.0372,0.0837,0.1041,0.0971,0.0919,0.0401,0.0174,0.0035,0.0023,0.0041,0.0029
2006,1,0,0,0.0005,0.0027,0.0033,0.0082,0.0148,0.0477,0.0987,0.124,0.1064,0.0724,0.0384,0.0176,0.0049,0.0016,0.0011,0.0005
2007,1,0,0.0012,0.0037,0.0074,0.0117,0.0154,0.0259,0.0376,0.0733,0.0998,0.0844,0.0776,0.0462,0.0179,0.0117,0.0074,0.0055,0.0025
2008,1,0.0004,0,0.0034,0.0025,0.0038,0.0096,0.0204,0.0396,0.048,0.1102,0.1234,0.0899,0.0279,0.0151,0.0042,0.0015,0.0019,0.0001
2009,1,0,0,0.0026,0.0042,0.0092,0.0149,0.0304,0.0389,0.0658,0.113,0.1223,0.0835,0.0278,0.0155,0.0087,0,0.0011,0.0001
