YEAR,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 ,31 ,32 ,33 ,34 ,35 ,36 ,37 ,38 ,39 ,40 ,41 ,42 ,43 ,44 ,45 ,46 ,47 ,48 ,49 ,50 ,51 ,52 ,53 ,54 ,55 ,56 ,57 ,58 ,59 ,60 ,61 ,62 ,63 ,64 ,65 ,66 ,67 ,68 ,69 ,70 ,71 ,72 ,73 ,74 ,75 
1992 ,0 ,0 ,0 ,0 ,201867 ,4151604 ,26811858 ,74247507 ,79417423 ,35920280 ,6461476 ,820190 ,0 ,0 ,269840 ,1277127 ,2376540 ,4961829 ,8139650 ,10043641 ,6231141 ,5475926 ,2554889 ,2578504 ,7856475 ,18821901 ,25474039 ,36920292 ,47694795 ,66877494 ,85405573 ,83334389 ,83966091 ,64538504 ,36375592 ,30185744 ,21734430 ,15174769 ,14365544 ,13561021 ,17414533 ,22233501 ,20868561 ,32322807 ,37663385 ,46031995 ,39702518 ,38270802 ,34803795 ,34728440 ,29824958 ,14926190 ,17812864 ,14379538 ,4489016 ,2227173 ,2101588 ,2609750 ,1352099 ,430374 ,0 ,200728 ,225630 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
1993 ,0 ,0 ,0 ,0 ,190566 ,3115902 ,16198676 ,26401346 ,13246055 ,3456765 ,682244 ,0 ,0 ,61168 ,117480 ,4047982 ,8164949 ,16831843 ,19882225 ,14388494 ,7280905 ,4724448 ,947482 ,544417 ,1104530 ,1185812 ,2331646 ,3151944 ,5043331 ,6081135 ,10268402 ,9289573 ,17098084 ,25759230 ,39872891 ,53170679 ,56778873 ,56815281 ,48048342 ,36771341 ,32526041 ,23053586 ,19013884 ,17110944 ,15977688 ,16637479 ,15291681 ,13558215 ,14345413 ,13218637 ,11297949 ,9100185 ,7269321 ,7265512 ,4212739 ,2732747 ,1540767 ,1219555 ,658389 ,126741 ,79169 ,173287 ,100788 ,22218 ,22218 ,0 ,0 ,0 ,0 ,0 ,0 
1994 ,0 ,0 ,0 ,0 ,3531093 ,32241074 ,51083670 ,60065961 ,32514111 ,6003615 ,399821 ,138757 ,0 ,936308 ,494653 ,2370414 ,5041313 ,7355292 ,6252901 ,5402393 ,3961784 ,2447393 ,2735240 ,1296738 ,1239486 ,3053152 ,5949595 ,6676769 ,11308727 ,6123465 ,7454073 ,5990165 ,3028235 ,3058000 ,2497713 ,3458439 ,5183857 ,8716536 ,15973728 ,23177451 ,35606143 ,39332224 ,45710090 ,37230441 ,32928374 ,28889481 ,23840200 ,20580270 ,23827774 ,17641937 ,17502634 ,18435611 ,13213992 ,11317496 ,9158243 ,6963833 ,4678072 ,2002411 ,1260295 ,975491 ,678216 ,148782 ,204708 ,0 ,102354 ,0 ,102354 ,0 ,0 ,0 ,0 
1995 ,0 ,0 ,0 ,1978895 ,163255604 ,1119602223 ,3906484024 ,3778874547 ,1537502136 ,156844311 ,25055462 ,555348 ,1012706 ,4270781 ,16435136 ,38702520 ,68078130 ,92075289 ,93482051 ,73348615 ,52932135 ,36419994 ,26642907 ,17062426 ,5481393 ,1954539 ,5761825 ,3867849 ,8418565 ,6061329 ,11311171 ,14555558 ,14175464 ,19829535 ,9135013 ,15436277 ,5193189 ,6732530 ,16638670 ,18425200 ,35092693 ,52782947 ,62492446 ,74478726 ,73249488 ,66255573 ,50807093 ,39608312 ,29886238 ,21681604 ,15844713 ,14103673 ,6868834 ,6412041 ,2630267 ,2001164 ,1444141 ,1794779 ,113575 ,246899 ,65230 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
1996 ,0 ,0 ,0 ,0 ,0 ,2598813 ,11583589 ,20320519 ,17688321 ,3702589 ,245780 ,5035865 ,51145581 ,249068448 ,634378174 ,945324379 ,772012188 ,441031194 ,130872225 ,53924344 ,18432930 ,8655955 ,9052158 ,10947201 ,21792083 ,23295002 ,14650457 ,15137972 ,13178381 ,6200749 ,3786253 ,3690757 ,3149236 ,1818419 ,2378184 ,1581261 ,2239498 ,1695550 ,3898633 ,6472281 ,7413412 ,12924946 ,24849252 ,37409132 ,52721317 ,63819441 ,69038161 ,64086654 ,52914681 ,38786395 ,28771983 ,19274851 ,13393510 ,9510777 ,6498609 ,5127097 ,2998016 ,1533871 ,1197706 ,485469 ,278752 ,50476 ,182891 ,70406 ,16550 ,0 ,0 ,16550 ,0 ,0 ,0 
1997 ,0 ,0 ,0 ,0 ,2984032 ,3292616 ,19724778 ,21369411 ,14728712 ,7064658 ,1209202 ,76449 ,281707 ,574155 ,746424 ,7562750 ,23268414 ,49521884 ,47889705 ,48099997 ,89326708 ,207707465 ,274931448 ,268123425 ,204563437 ,103640682 ,59447966 ,31232060 ,20591258 ,16171461 ,11113439 ,9721445 ,9685978 ,8870661 ,4673315 ,8356282 ,3935077 ,5140599 ,3942922 ,4603103 ,2507619 ,3552222 ,3597740 ,6376645 ,13391270 ,20277907 ,29855647 ,36258470 ,37012348 ,33891661 ,28125806 ,23901820 ,12387627 ,8101641 ,4640558 ,2566716 ,2208986 ,1225018 ,1004803 ,146124 ,85455 ,33473 ,143984 ,204368 ,44403 ,0 ,0 ,0 ,0 ,0 ,0 
1998 ,0 ,0 ,0 ,0 ,3652940 ,15516742 ,70460353 ,140388182 ,104494891 ,49269103 ,9674253 ,1807581 ,181794 ,221617 ,683625 ,3302735 ,9570385 ,16026604 ,19827128 ,20729088 ,10326032 ,7846445 ,5732532 ,4840612 ,9840549 ,25088354 ,42168294 ,78376006 ,101504503 ,98797298 ,103128829 ,83714470 ,65705879 ,45055814 ,26017106 ,15079747 ,16003439 ,6041782 ,6959800 ,5253579 ,2252222 ,1927047 ,3278232 ,4467106 ,6321919 ,13143637 ,18339717 ,24183514 ,26181670 ,23280719 ,19715041 ,19313591 ,11837690 ,9231702 ,7710697 ,4489108 ,1943051 ,1664908 ,1679246 ,255543 ,280897 ,228931 ,0 ,32963 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2000 ,0 ,0 ,0 ,44025 ,28721790 ,371739999 ,1162268514 ,1565045713 ,998976324 ,320335054 ,29972154 ,7354595 ,1201397 ,9675362 ,31863490 ,80648006 ,147135877 ,195744553 ,175830536 ,67662078 ,29908904 ,10694148 ,6393129 ,10249284 ,12820373 ,17995037 ,32348365 ,37436290 ,34261094 ,28007866 ,21699469 ,12846377 ,8928750 ,8419331 ,7102995 ,11229339 ,12648601 ,18737040 ,19191938 ,17971555 ,19490187 ,21704637 ,18831981 ,16802209 ,12977963 ,15626836 ,10493173 ,10638873 ,9708080 ,9479127 ,8662128 ,7953724 ,8502074 ,6482929 ,4542935 ,2375900 ,1116815 ,1663747 ,676534 ,352676 ,211416 ,47166 ,44897 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,11032 
2001 ,0 ,0 ,0 ,0 ,3647801 ,32938928 ,87426379 ,87067123 ,51669222 ,23908752 ,2274599 ,1984023 ,19834558 ,184733706 ,807658431 ,1407377098 ,1043280654 ,459973182 ,107180134 ,20237860 ,22335385 ,30806557 ,59683309 ,85469589 ,91314226 ,49745060 ,36829694 ,14767606 ,14060696 ,7356739 ,6398211 ,7549070 ,8883290 ,9140407 ,11472801 ,9026358 ,12047921 ,7838393 ,7314870 ,6926288 ,8021841 ,4521752 ,4780868 ,6294168 ,8679851 ,8065673 ,5350798 ,8830728 ,5953508 ,4120531 ,4623054 ,5219202 ,3317077 ,2087396 ,3323954 ,3360470 ,1438058 ,296456 ,1108271 ,336593 ,96772 ,1085060 ,0 ,199684 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2002 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4849351 ,1605652 ,840246 ,819023 ,0 ,0 ,420123 ,3479880 ,14784693 ,36432221 ,29202386 ,42570343 ,56423685 ,128231561 ,238838208 ,250246602 ,209861842 ,124094929 ,74459495 ,41629235 ,24582138 ,28948130 ,20259907 ,17467143 ,6933913 ,5202546 ,5640370 ,6214875 ,2236454 ,1895193 ,2628670 ,1927438 ,2157691 ,2545197 ,2227431 ,2744336 ,3757002 ,3293616 ,3200726 ,3647486 ,3903571 ,3457747 ,2764631 ,2189564 ,1316960 ,1289602 ,948550 ,1020631 ,460568 ,276418 ,267413 ,50505 ,85213 ,89246 ,0 ,12707 ,6828 ,0 ,0 ,13650 ,0 ,0 ,0 ,0 
2003 ,0 ,0 ,0 ,0 ,0 ,673346 ,7544189 ,13820634 ,19774537 ,8091010 ,1020515 ,143187 ,127052 ,0 ,1217883 ,3395129 ,10796254 ,15448945 ,17450712 ,16240487 ,10691680 ,7957561 ,8668223 ,22803169 ,51505468 ,106686079 ,152636468 ,185239863 ,144863686 ,121955497 ,76628391 ,56607918 ,37641682 ,28329148 ,23153826 ,13811388 ,13489517 ,7442586 ,5894728 ,4645517 ,3153786 ,3437602 ,3195716 ,2408214 ,1977533 ,1914939 ,1935687 ,1586991 ,1562287 ,750338 ,1185445 ,340291 ,257519 ,457565 ,1055131 ,656825 ,606527 ,127431 ,216832 ,274213 ,0 ,0 ,104512 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2004 ,0 ,0 ,0 ,49674 ,44644 ,10054505 ,14557498 ,23652678 ,2541808 ,1264032 ,360563 ,108504 ,34176 ,323594 ,1094593 ,3550384 ,10236024 ,20255393 ,22533881 ,17520594 ,11584220 ,9082403 ,3667688 ,2415350 ,3026493 ,4375682 ,7023689 ,16033397 ,24784610 ,41444731 ,55702071 ,58535251 ,53896369 ,47036108 ,38816942 ,34758602 ,34883246 ,37917325 ,32441562 ,26959603 ,23601320 ,18330169 ,16531048 ,10754687 ,7719185 ,7494636 ,4646526 ,4461743 ,2473292 ,2946576 ,2870843 ,1829663 ,842910 ,1189352 ,665298 ,209368 ,67220 ,160094 ,263569 ,604 ,197116 ,0 ,0 ,67220 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2005 ,0 ,0 ,0 ,0 ,5920396 ,106271360 ,475909320 ,621086646 ,295875904 ,98225985 ,18630687 ,4213917 ,185686 ,968392 ,1921566 ,8163002 ,20217470 ,28505153 ,38118142 ,30034688 ,16300560 ,7184731 ,1731218 ,2840763 ,923891 ,8231670 ,8221783 ,2297126 ,9936370 ,3058943 ,10482673 ,3672748 ,17664318 ,10163662 ,10583968 ,23478589 ,21992534 ,32210796 ,33235156 ,41168446 ,38595758 ,33217596 ,37364021 ,32928399 ,21689619 ,28096383 ,13958048 ,7407344 ,5702769 ,3546318 ,3012494 ,1780268 ,1031684 ,1120932 ,909916 ,566037 ,230143 ,0 ,523181 ,83624 ,83624 ,232321 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2006 ,0 ,0 ,0 ,0 ,3506248 ,36268669 ,61499948 ,39135919 ,12826169 ,5291805 ,2284228 ,881049 ,6545817 ,23375042 ,75355189 ,140558663 ,203133566 ,161304729 ,107418404 ,66205403 ,27393017 ,13658306 ,6247715 ,3132869 ,5350172 ,5583639 ,5613970 ,5592991 ,6461379 ,7991161 ,4758053 ,3767351 ,2697858 ,2283433 ,1273805 ,2215539 ,2144349 ,2467192 ,3772522 ,5307204 ,7123195 ,9106474 ,10910268 ,13552425 ,15367305 ,17608022 ,19458464 ,19023193 ,15580943 ,11668660 ,12759626 ,6547839 ,4545946 ,3062067 ,3087303 ,1841528 ,1643376 ,1024743 ,897475 ,429962 ,366103 ,357338 ,272426 ,27047 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2007 ,0 ,0 ,0 ,0 ,160732 ,3710185 ,14009481 ,20472172 ,10540116 ,3792464 ,713486 ,137537 ,1586050 ,7652410 ,24324286 ,54514071 ,60253481 ,41623538 ,19645513 ,9057149 ,6090651 ,7383986 ,10958887 ,15145137 ,23157703 ,29569945 ,23178164 ,23133412 ,18716369 ,15661339 ,12400755 ,7717832 ,4766004 ,4331933 ,3542395 ,3733914 ,3042316 ,2417092 ,2625578 ,2282369 ,2921607 ,2103300 ,2867150 ,2916272 ,4342997 ,6113423 ,7684318 ,5870778 ,8906388 ,7411905 ,7950578 ,5801487 ,4938895 ,4422734 ,2662872 ,1885912 ,1601979 ,1039465 ,902984 ,449289 ,341527 ,188368 ,141549 ,102785 ,50642 ,0 ,75984 ,0 ,0 ,0 ,0 
2008 ,0 ,0 ,0 ,0 ,6581829 ,25018392 ,161444048 ,407294141 ,411679599 ,265358267 ,77342584 ,11116219 ,2185974 ,141323 ,4733089 ,4530275 ,19864540 ,38142777 ,83420838 ,116970420 ,75943062 ,35613249 ,30077483 ,19443933 ,13315061 ,10603468 ,27062020 ,38087633 ,42330750 ,31368189 ,31526739 ,16647911 ,18796288 ,7127243 ,3290508 ,8253205 ,7106363 ,4333425 ,4005489 ,3147962 ,4072684 ,2585119 ,1447635 ,582567 ,1252662 ,436205 ,317078 ,1246487 ,1096031 ,2024103 ,1756647 ,3515302 ,1006282 ,2314724 ,2670478 ,1789081 ,2632070 ,1138131 ,1224437 ,1434535 ,486776 ,659114 ,432067 ,35537 ,35537 ,0 ,0 ,0 ,0 ,0 ,0 
2009 ,0 ,0 ,0 ,0 ,1247315 ,16066672 ,73529023 ,133967265 ,73771705 ,30495015 ,1754069 ,1108938 ,0 ,5570340 ,6554098 ,76667675 ,179017980 ,347172853 ,293351495 ,181395664 ,79740069 ,19580657 ,9482185 ,13609174 ,5612722 ,6330476 ,8852915 ,13103304 ,24311613 ,23713108 ,18694929 ,16962223 ,8137661 ,12344462 ,16418612 ,9856382 ,14002031 ,15888435 ,14560475 ,14496945 ,11933641 ,8910256 ,5640159 ,4678764 ,2801257 ,2908800 ,2587363 ,3521255 ,2171754 ,2495613 ,1633585 ,2585553 ,1665845 ,1303966 ,1290065 ,1297095 ,1298202 ,1043329 ,1086368 ,725901 ,335263 ,1050936 ,567465 ,492399 ,256581 ,70747 ,242916 ,0 ,0 ,0 ,0 
2010 ,0 ,0 ,0 ,417090 ,1250568 ,9556239 ,20289104 ,27932020 ,21371240 ,7364009 ,1104835 ,759512 ,874674 ,484350 ,9137892 ,15698692 ,36229925 ,63529049 ,88846686 ,49934611 ,26867041 ,16294594 ,7658686 ,9179219 ,27663444 ,55332386 ,90500810 ,107703698 ,91284047 ,66108290 ,31599807 ,25287961 ,14095268 ,10500927 ,7534406 ,8540294 ,8526558 ,10190191 ,10642056 ,11108424 ,14536574 ,13751197 ,11442244 ,11963449 ,10383686 ,12345560 ,10760191 ,9513945 ,6442560 ,7389141 ,8407873 ,6134310 ,5213803 ,6308073 ,5762467 ,3646725 ,5494786 ,4095736 ,3525622 ,3996328 ,3512890 ,2504980 ,2722453 ,1429502 ,525011 ,940780 ,629157 ,510549 ,0 ,0 ,0 
