YEAR,region,gender,<=22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60+
2000,1,2,0,0,0.003,0.01,0.02,0.039,0.081,0.09,0.088,0.064,0.047,0.032,0.023,0.01,0.008,0.006,0.005,0.003,0.001,0.001
2001,1,2,0,0,0,0.001,0.005,0.017,0.059,0.084,0.092,0.07,0.065,0.049,0.031,0.017,0.019,0.009,0.007,0.003,0.002,0.002
2002,1,2,0,0,0,0.002,0.008,0.034,0.058,0.096,0.087,0.074,0.049,0.028,0.03,0.011,0.007,0.007,0.005,0.002,0.002,0.001
2003,1,2,0,0,0,0.001,0.004,0.018,0.043,0.062,0.071,0.074,0.048,0.031,0.024,0.014,0.014,0.009,0.005,0.002,0.001,0.001
2004,1,2,0,0,0.001,0.002,0.004,0.019,0.046,0.071,0.076,0.061,0.043,0.039,0.024,0.016,0.012,0.01,0.005,0.003,0.001,0.001
1966,1,1,0,0,0,0.001,0.005,0.029,0.062,0.086,0.073,0.052,0.026,0.014,0.007,0.001,0,0,0,0,0,0
1967,1,1,0,0,0,0,0.003,0.02,0.062,0.1,0.072,0.045,0.023,0.012,0.006,0.003,0.001,0,0,0,0,0
1968,1,1,0,0,0,0,0.002,0.013,0.039,0.064,0.062,0.064,0.049,0.026,0.013,0.006,0.002,0,0,0,0,0
1969,1,1,0,0,0,0,0.003,0.021,0.068,0.068,0.054,0.03,0.016,0.006,0.002,0.001,0,0,0,0,0,0
1970,1,1,0,0,0,0.001,0.005,0.027,0.053,0.085,0.082,0.06,0.04,0.016,0.008,0.002,0,0,0,0,0,0
1971,1,1,0,0,0,0.005,0.002,0.03,0.1,0.152,0.13,0.086,0.068,0.018,0.008,0.004,0.003,0,0,0,0,0
1972,1,1,0,0,0.001,0,0.008,0.03,0.076,0.115,0.083,0.062,0.038,0.016,0.007,0.005,0.002,0.001,0,0,0,0
1973,1,1,0,0,0,0.001,0.009,0.028,0.064,0.095,0.079,0.052,0.028,0.019,0.008,0.003,0,0,0,0,0,0
1974,1,1,0,0.001,0,0.004,0.014,0.04,0.065,0.074,0.059,0.037,0.015,0.006,0.003,0.001,0,0.001,0,0,0,0
1975,1,1,0,0,0,0,0.011,0.025,0.064,0.122,0.096,0.058,0.042,0.009,0.002,0.001,0.001,0,0,0.001,0,0
1976,1,1,0,0,0,0.003,0.011,0.042,0.065,0.079,0.07,0.034,0.026,0.009,0.006,0.001,0,0,0,0,0,0
1977,1,1,0,0,0,0.001,0.008,0.03,0.062,0.081,0.072,0.058,0.031,0.011,0.005,0.002,0,0,0,0,0,0
1978,1,1,0,0,0,0.014,0.044,0.08,0.098,0.086,0.072,0.038,0.022,0.008,0.002,0.002,0,0,0,0,0,0
1979,1,1,0,0,0.001,0.003,0.018,0.056,0.095,0.095,0.078,0.039,0.027,0.015,0.005,0,0.001,0,0,0,0,0
1980,1,1,0,0,0.001,0.003,0.017,0.038,0.066,0.062,0.048,0.039,0.008,0.004,0.001,0,0,0,0,0,0,0
1981,1,1,0,0,0,0.003,0.012,0.049,0.087,0.097,0.09,0.071,0.046,0.019,0.007,0.003,0,0.001,0,0,0,0
1982,1,1,0,0,0.001,0.009,0.033,0.083,0.106,0.084,0.064,0.043,0.031,0.014,0.006,0.002,0,0,0,0,0,0
1983,1,1,0,0,0.001,0.008,0.039,0.079,0.091,0.063,0.034,0.017,0.015,0.005,0.005,0.002,0.001,0,0,0,0,0
1984,1,1,0,0.001,0.002,0.009,0.028,0.08,0.093,0.067,0.059,0.05,0.027,0.015,0,0.001,0,0,0,0,0,0
1985,1,1,0.001,0.001,0.005,0.021,0.057,0.111,0.104,0.074,0.054,0.042,0.04,0.016,0.005,0.001,0,0,0,0,0,0
1986,1,1,0,0,0.001,0.013,0.053,0.096,0.112,0.087,0.053,0.039,0.025,0.013,0.007,0.002,0.001,0,0,0,0,0
1987,1,1,0,0.001,0.009,0.042,0.08,0.139,0.125,0.074,0.038,0.019,0.012,0.005,0.002,0.001,0,0,0,0,0,0
1988,1,1,0,0.002,0.004,0.017,0.057,0.114,0.13,0.086,0.046,0.024,0.012,0.006,0.004,0.001,0.001,0,0,0,0,0
1989,1,1,0,0.001,0.003,0.013,0.064,0.128,0.133,0.09,0.051,0.03,0.013,0.01,0.005,0.001,0.001,0.001,0,0,0,0
1990,1,1,0,0.001,0.003,0.014,0.05,0.1,0.104,0.068,0.046,0.041,0.036,0.019,0.006,0.002,0,0,0,0,0,0
1991,1,1,0,0.001,0.004,0.022,0.079,0.129,0.126,0.066,0.038,0.023,0.015,0.008,0.003,0.001,0,0,0,0,0,0
1992,1,1,0,0,0.003,0.016,0.053,0.106,0.096,0.077,0.049,0.03,0.022,0.009,0.005,0.001,0,0,0,0,0,0
1993,1,1,0,0.001,0.01,0.026,0.078,0.103,0.091,0.062,0.045,0.025,0.015,0.01,0.003,0.001,0,0,0,0,0,0
1994,1,1,0,0.001,0.015,0.042,0.098,0.132,0.104,0.074,0.04,0.03,0.024,0.008,0.004,0.002,0,0,0,0,0,0
1995,1,1,0.001,0.001,0.018,0.044,0.089,0.124,0.144,0.073,0.031,0.025,0.013,0.005,0.003,0.001,0,0,0,0,0,0
1996,1,1,0,0.001,0.006,0.029,0.062,0.09,0.111,0.083,0.031,0.027,0.015,0.008,0.003,0.003,0,0,0,0,0.001,0
1997,1,1,0,0.001,0.005,0.028,0.068,0.118,0.106,0.066,0.041,0.02,0.012,0.006,0.002,0.001,0.001,0,0,0,0,0
1998,1,1,0,0,0.002,0.013,0.034,0.072,0.1,0.075,0.048,0.018,0.014,0.004,0.003,0,0,0.001,0,0,0,0
1999,1,1,0,0.001,0.003,0.02,0.056,0.117,0.109,0.067,0.029,0.016,0.006,0.003,0.001,0.001,0,0,0,0,0,0
2000,1,1,0,0.001,0.002,0.02,0.066,0.112,0.116,0.072,0.039,0.019,0.01,0.007,0.003,0.001,0,0,0,0,0,0
2001,1,1,0.001,0,0.002,0.011,0.036,0.083,0.119,0.101,0.06,0.025,0.015,0.007,0.004,0.002,0.003,0.001,0,0,0,0
2002,1,1,0,0.001,0.001,0.015,0.048,0.126,0.141,0.098,0.042,0.015,0.008,0.002,0,0.001,0,0,0,0,0,0
2003,1,1,0.001,0,0.001,0.006,0.029,0.092,0.183,0.128,0.069,0.033,0.016,0.009,0.003,0.005,0.001,0,0,0,0,0
2004,1,1,0,0.001,0.003,0.016,0.038,0.102,0.168,0.133,0.066,0.023,0.008,0.004,0.002,0.001,0,0,0,0,0,0
1967,2,2,0,0,0,0,0,0,0,0.01,0.01,0.04,0.06,0.01,0.02,0.02,0.01,0,0.01,0.01,0,0
1969,2,2,0,0,0,0,0.001,0.006,0.026,0.067,0.082,0.082,0.056,0.041,0.029,0.014,0.009,0.005,0,0,0,0
1970,2,2,0.003,0,0,0,0.007,0.018,0.058,0.151,0.137,0.089,0.069,0.063,0.045,0.016,0.006,0,0.001,0,0,0
1971,2,2,0,0,0,0.001,0,0.003,0.021,0.061,0.084,0.059,0.046,0.044,0.039,0.015,0.011,0.01,0.001,0,0.001,0
1972,2,2,0,0,0,0.002,0.004,0.01,0.063,0.105,0.108,0.098,0.077,0.064,0.034,0.025,0.013,0.004,0.001,0.001,0,0.002
1973,2,2,0,0,0,0.001,0.001,0.011,0.053,0.112,0.124,0.086,0.062,0.053,0.029,0.019,0.011,0.011,0.005,0.004,0.001,0
