YEAR,gender,part,effn,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110
1991,2,2,220.5,0,0,0,0.5,1,0,5,5,13,11,18,23.5,20,25.5,29.5,33.5,39,50,34,42.5,28,29,45,79,67,91.5,50,30,23.5,16,25,43,26,22,15,14,7,4,7,2,6,7
1992,2,2,435.3,2,4,6,5,7.5,13.5,37,61.5,87,97,72.5,69.5,85,84.5,73,93.5,89.5,70.5,61,56.5,46,61,45.5,34.5,25,51,61,86.5,69,51,38,27,25,18,27,22,18,20,18,8,6,14
1993,2,2,472.1,0,0,1,4,9,21.5,50.5,59,90,114.5,122.5,105.5,146,146,133.5,117.5,94.5,77,62,73,59.5,56,38,38,38.5,35,48.5,29,26,50,46,39,28,21,9,11,15,13,10,6,9,16
1994,2,2,528.1,0,1,2,12,18,19,13.5,25,58,85,73,80.5,81.5,133,182.5,188,149,127,123,104,105,86,90,65,68,47,60,60,46,31,26,20,36,18,14,10,10,5,10,5,3,10
1995,2,2,332.4,0,0,0,0,0,0,0,0,0,0,6,10,29,48,68,96,111,106,119,155,123,95,90,56,58,52,45,32,25,22,15,9,15,17,18,11,8,4,13,7,4,6
1996,2,2,263.5,0,0,0,0,1,0,0,1,17,20,19,23,12,21,42,55,69,76,79,72,53,80,89,79,67,51,66,40,23,25,21,17,10,6,14,7,5,5,4,4,2,4
1997,2,2,312.3,0,0,0,0,0,0,0,3,2,1,8.5,6.5,24,39.5,68.5,65.5,58,48.5,51,64.5,80.5,91.5,91,87,76,64,59.5,49,33.5,29,21.5,13.5,18.5,10.5,6,13.5,8,5.5,7.5,3.5,3,5
1998,2,2,252.6,0,0,0,0,0,0,1,0,3,2,3,6,12,13,23,17,44,51.5,77,82,83,70,56,52,54,70.5,49,55,55,23.5,30,20.5,16,11,11,6,6,3.5,2,3,1,6
1999,2,2,277.6,0,0,0,0,0,0,2,4,6.5,3,6.5,3.5,12.5,19.5,24.5,40,63.5,73,96,88,70,75,74,88,70,65,57,60,49,43,49,26,21,14,8,4,9,1,0,2,2,3
2000,2,2,216.2,0,0,1,0,0,0,0,0,0,0,0,1,1,2,3,4,13,17,35,44,52.5,62,48,55.5,41,43,34,38,30,20,26,28,25,15,8,9,13,6,5,6,1,11
2001,2,2,265.8,0,0,0,0,0,0,0,1,1,1,1,2,2,11,7,19,35,32,47,44,46,51,50,56,59,46,44,28,27,25,29,31,16,19,10,8,5,1,2,2,0,0
2002,2,2,296.9,0,0,0,0,0,0,0,1,1,0,0,0,4,6,13,24,33,40.5,46,52,46.5,58,29,29.5,48,41.5,47.5,42,37,34,28,14,10,13,10,7,4,6,1,1,0,2
2003,2,2,276.8,0,0,0,0,0,0,0,0,0,0,0,2,6,8,13,24,49,73,77,66,56,42,25,20.5,32,32,20,26,18,18,20,9,17,12,12,7,7,3,3,0,1,0
2004,2,2,328.1,0,0,0,0,0,0,0,0,1,1,0,1,2,2,6,12,34.5,54,68,60,44,37,34,39,17,18,20,11,11.5,13,16,6,9,6.5,2,4.5,4.5,1,0,0,1,0.5
2005,2,2,187.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,19,38,47,47,47,48,40,38,38,37,30,29,21,16,10,10,3,2,8,4,3,3,4,1,0,0
2006,2,2,250.7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,4,14.5,23,30,39.5,46.5,58,60,55,56,61,39,44,42,35,15,22,15,20,8,15,7,3,4,3,1,1
2007,2,2,448.4,0,0,0,0,1,0,0,0,0,0,1,1,1,2,7.5,11.5,17.5,20.5,33,40,56,75.5,92.5,92,117,114,126,110,106,99,62,53,21,21,18,7,8,5,3,4,2,1
2008,2,2,358.2,0,0,0,0,0,0,0,0,1,0,0,2,1,1,6,12,19,21,26,29.5,26,51,74.5,83,83,86.5,143,122,98,79,61,49,22,15,9,14,4,2,2,3,0,2
1976,1,2,14.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,6,5,11,18,21,19,8,7,6,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,1,2,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1978,1,2,176.1,0,0,0,0,0,1,0,1,0,2,2,2,14,7,18,18,16,26,15,20,14,16,16,17,16,5,14,9,12,8,3,1,0,2,1,0,2,0,0,0,0,0
