"","V1","V2"
"sigout",0.003,0.026
"sig",0.001,0.843
"sig",0.228,0.146
"sig",0.115,0.152
"sig",0.713,0.312
"sig",0.001,0.003
"sig",0.001,0.248
"sig",0.001,0.474
"sig",0.198,0.816
"sig",0.055,0.78
"sig",0.001,0.939
"",NA,NA
"",NA,NA
"sig",0.738,0.064
"",NA,NA
"sig",0.002,0.5
"",NA,NA
"",NA,NA
"sig",0.008,0.858
"sig",0.001,0.214
"sig",0.301,0.766
"sig",0.711,0.673
"sig",0.773,0.541
"sig",0.001,0.562
"sig",0.019,0.9
"sig",0.542,0.012
"sig",0.206,0.317
"sig",0.003,0.677
