"","V1","V2","V3","V4"
"adjR2Bout",0.219402712414625,0,0,0.175379684922924
"adjR2B",0.177894969381546,0,0,0.163588475613859
"adjR2B",0,0.000201261487760451,0,0
"adjR2B",0.037071272101041,0.00219669134568135,0.0735079601195117,0.112775923566234
"adjR2B",0,0.00525996245379634,0.0210114542545264,0.00925079799218909
"adjR2B",0.192991143013728,0.00141875287943016,0.0210939606766859,0.215503856569844
"adjR2B",0.356145530830501,0.0299831467174432,0,0.381579074503238
"adjR2B",0.0982577824009295,0,0.00495932740171789,0.0926137613405621
"adjR2B",0.0328959566355934,0,0.0351552156889759,0.0570303706888815
"adjR2B",0.0820839320945401,0.01264145946648,0,0.0700705944153965
"adjR2B",0.312283702965044,0.0454583312285683,0.0404924241547077,0.39823445834832
"adjR2B",0,0,0.301399876501076,0.251547056046155
"adjR2B",0,0,0,0
"adjR2B",0,0,0.0411414173250347,0.0050230582090548
"adjR2B",0.134481403917827,0,0,0.109466480252032
"adjR2B",0.0705767274417947,0,0.0338862895643495,0.103698578136363
"adjR2B",0,0.0267432289945033,0,0
"adjR2B",0.286680393076288,0,0.0667398624269409,0.177842036129411
"adjR2B",0.0669420822341279,0.0779795754386986,0.0941208626922156,0.239042520365042
"adjR2B",0.0777143954769556,0.0168272670125251,0,0.0765997927150467
"adjR2B",0.00258204655227556,0.00938102688008458,0.000587085263086262,0.0125501586954464
"adjR2B",0,0.00839291007707055,0,0
"adjR2B",0,0,0,0
"adjR2B",0.339072966108994,0.0771561404392567,0,0.408602343388384
"adjR2B",0.0285587264276149,0.0423475309506131,0.0163204592756871,0.0872267166539151
"adjR2B",0,0.000962236058726584,0.0417115507864255,0.0393707324577536
"adjR2B",0.0228965914603462,0,0.0402403412851994,0.0538780218652394
"adjR2B",0.372004861842472,0,0.00130171777247678,0.351445759190298
