"","V1","V2","V3","V4"
"adjR2Bout",0.211374179169133,0,0.0699737900558,0.262453227992997
"adjR2B",0.180678386558025,0,0,0.151996864689656
"adjR2B",0.0118184971155098,0,0.0296357225892251,0.0285532763838588
"adjR2B",0.0474671869093201,0,0.0291725822711483,0.0684405457178706
"adjR2B",0,0.004281995805126,0.0029579846479133,0
"adjR2B",0.214076747304824,0,0.0581373671205547,0.252547263013713
"adjR2B",0.391350780249608,0,0.00615579565020996,0.392284473198154
"adjR2B",0.0868485778567933,0.00080585608205086,0,0.0854341187394447
"adjR2B",0.0195218835840774,0.0023532714158282,0,0
"adjR2B",0.0880746213443764,0.00665077021664373,0,0.0700363456627737
"adjR2B",0.36922187395638,0,0,0.336355336616266
"",NA,NA,NA,NA
"",NA,NA,NA,NA
"adjR2B",0,0,0.0637715254050513,0.0251784595225732
"",NA,NA,NA,NA
"adjR2B",0.10337760456473,0.00177030094215669,0,0.0987530134563389
"",NA,NA,NA,NA
"",NA,NA,NA,NA
"adjR2B",0.104918778979346,0.0452214875825143,0,0.133924242017523
"adjR2B",0.139387821368877,0,0.0105791589781798,0.116417367382116
"adjR2B",0.0023892106804011,0.00742752921336431,0,0
"adjR2B",0,0.00805842651848887,0,0
"adjR2B",0,0,0,0
"adjR2B",0.359106392112083,0.0678668070196741,0,0.421833067831727
"adjR2B",0.0688765956011951,0.00266614202483617,0,0.0476571650363821
"adjR2B",0,0.0118391885243591,0.072377643424467,0.0777716749224868
"adjR2B",0.0145165459784874,0,0.00421940717188773,0.0092951123843622
"adjR2B",0.284196735854246,0,0,0.254681785572293
