"","A50","L50","Linf","K","MeanF_M","cvF_M","meanTemp","cvTemp"
"coefF",0.0139814568059684,-0.000785562934292727,-0.000346301224082512,-0.0887728295835117,-0.00379852806263352,0.0748788981259296,0.0088813820349254,-0.0220480998159806
"sigF",0.125030696239352,0.621779809454875,0.595829180560308,0.509415180475136,0.839822780513008,0.511452713324635,0.1633411313438,0.459228271496996
"coefT",0.00016351275922584,0.000569505594218822,3.35224303371865e-05,0.03964962244684,0.0044352543808107,0.122142427169181,-0.00341888298111919,-0.01692136654411
"sigT",0.975031456335205,0.522510137753641,0.92716666128945,0.599442999699639,0.673128908177828,0.0479904495471136,0.343034733363642,0.308267422521442
